Nama,Rating,Location,Entrance Fee,Foto
Uluwatu Temple,4.6,"Pecatu, Kec. Kuta Sel., Kabupaten Badung",150000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/1.jpg
Sacred Monkey Forest Sanctuary,4.5,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",80000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/2.jpg
Banyumala Waterfall,4.8,"Wanagiri, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/3.jpg
Jatiluwih Rice Terraces,4.7,"Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152",40000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/4.jpg
Bali Bird Park,4.6,"Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",385000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/5.jpg
Ulun Danu Beratan Temple,4.7,"Danau Beratan, Candikuning, Baturiti, Tabanan Regency, Bali 82191",75000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/6.jpg
Wanagiri Hidden Hill Bali,4.4,"Wanagiri, Jalan Raya Munduk, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali",100000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/7.jpg
Bali Zoo,4.4,"Jl. Raya Singapadu, Singapadu, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",399584,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/8.jpg
Pengempu Waterfall,4.2,"Jl. Seribupati, Cau Belayu, Kec. Marga, Kabupaten Tabanan, Bali 82181",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/9.jpg
Devil's Tears,4.6,"Nusa Lembongan, Jungutbatu, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/10.jpg
Puri Langon Ubud,4.9,"Gg. Mawar, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/11.jpg
Tanah Lot,4.6,"Beraban, Kec. Kediri, Kabupaten Tabanan",60000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/12.JPG
Tukad Cepung Waterfall,4.6,"Central parkir waterfall tukad cepung, Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/13.jpg
Sangeh Monkey Forest,4.5,"Jl. Brahmana, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80353",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/14.jpg
Secret Waterfall,2.8,"Jl. Raya Laplapan No.7, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80552",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/15.jpg
Hidden Canyon Beji Guwang,4.5,"Banjar Wangbung, Jl. Sahadewa, Guwang, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",180000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/16.jpg
Secret Garden Village,4.6,"Jl. Raya Denpasar Bedugul km. 36, Mekarsari, Baturiti, Mekarsari, Tabanan, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",100000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/17.jpg
True Bali Experience,4.1,"Jalan Tukad Ayung XI, Carangsari, Kec. Petang, Kabupaten Badung, Bali 80353",100000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/18.jpg
Istana Kepresidenan Tampaksiring,4.7,"Jl. Dr. Ir. Soekarno, Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/19.jpg
Taman Mumbul Sangeh,4.6,"Jln.brahmana No.38, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80352",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/20.jpg
Leke Leke Waterfall,4.4,"Antapan, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/21.jpg
BAS De ATAYANA (I Love BAS Agrotourism),4.4,"Jalan Raya Jurusan Tampaksiring - Kintamani Br. Sribatu, Penglumbaran, Kec. Susut, Kabupaten Bangli, Bali 80661",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/22.jpg
Pengibul Waterfall,4.4,"Apuan, Kec. Susut, Kabupaten Bangli, Bali 80515",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/23.jpg
Balangan Beach,4.5,"Kec. Kuta Sel., Kabupaten Badung, Bali",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/24.jpg
Red Coral Munduk Waterfall,4.5,"Banyuatis, Kec. Banjar, Kabupaten Buleleng, Bali 81152",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/25.jpg
Nusa Penida Tour Bali,5.0,"Jl. Monkey Forest No.18, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",25000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/26.jpg
Goa Rang Reng Waterfall,4.7,"Jl. Goa Jl. Rang Reng, Bakbakan, Gianyar, Gianyar Regency, Bali 80515",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/27.jpg
Upside Down World Bali,4.3,Jl. Bypass Ngurah Rai No.762,100000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/28.jpeg
Ubud Water Palace,4.3,"Jl. Kajeng No.24, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/29.jpg
Pejeng kawan village,4.0,"Pejeng Kawan, Tampaksiring, Gianyar Regency, Bali",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/30.jpeg
